[tensor(46622.9648), tensor(43256.9648)]
[tensor(47545.2344), tensor(42334.8672)]
[tensor(47787.8203), tensor(42092.4023)]
[tensor(47876.9023), tensor(42003.3984)]
[tensor(46271.6289), tensor(43608.4258)]
[tensor(46936.8633), tensor(42943.0586)]
[tensor(46642.4023), tensor(43237.4961)]
[tensor(47969.1836), tensor(41910.9961)]
[tensor(45607.2266), tensor(44272.8711)]
[tensor(45381.8438), tensor(44498.2109)]
[tensor(45099.5391), tensor(44780.4844)]
[tensor(45636.0742), tensor(44243.8555)]
[tensor(45193.9062), tensor(44686.2070)]
[tensor(46165.9375), tensor(43714.0078)]
[tensor(45610.3828), tensor(44269.6406)]
[tensor(45256.0938), tensor(44623.9844)]
[tensor(44785.2070), tensor(45094.7930)]
[tensor(44602.4688), tensor(45277.4414)]
[tensor(44857.2109), tensor(45022.6133)]
[tensor(44888.9961), tensor(44990.9297)]
[tensor(44938.9023), tensor(44941.0938)]
[tensor(44948.0703), tensor(44931.9297)]
[tensor(44954.2422), tensor(44925.7578)]
[tensor(44959.6289), tensor(44920.3125)]
[tensor(44962.3984), tensor(44917.6328)]
[tensor(44959.2383), tensor(44920.7891)]
[tensor(44953.1836), tensor(44926.8438)]
[tensor(44957.0352), tensor(44923.0039)]
[tensor(44959.3516), tensor(44920.6680)]
[tensor(44963.8906), tensor(44916.1484)]
[tensor(44956.3438), tensor(44923.6875)]
[tensor(44953.8828), tensor(44926.1562)]
[tensor(44951.5273), tensor(44928.4805)]
[tensor(44947.8281), tensor(44932.1641)]
[tensor(44946.3164), tensor(44933.6797)]
[tensor(44944.3086), tensor(44935.6875)]
[tensor(44940.2969), tensor(44939.6914)]
[tensor(44939.8555), tensor(44940.1328)]
[tensor(44938.3906), tensor(44941.5820)]
[tensor(44937.7578), tensor(44942.2148)]
[tensor(44938.1523), tensor(44941.8281)]
